tab 	sites																				
site	location	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description
GD01	Gila County	281.3	58.2	268.2	3.2	9	9	9	0	33.7	249.5	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC4	g	i	1100	Ma	10.1139/e93-122	
GD02	Gila County	277.3	55.7	165.8	4.3	8	8	8	0	33.7	249.5	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC5	g	i	1100	Ma	10.1139/e93-122	
GD01-02	Gila County	279.2	57							33.7	249.5	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC15	g	i	1100	Ma	10.1139/e93-122	1
GD03	Gila County	285.3	51.4	165	3.6	11	11	11	0	33.8	249.5	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC6	g	i	1100	Ma	10.1139/e93-122	2
GD04	Gila County	295.5	56.6	81.9	7.7	7	7	7	0	33.8	249.5	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC7	g	i	1100	Ma	10.1139/e93-122	3
GD05	Gila County	283.2	26	108.5	5.8	7	7	7	0	33.8	249.5	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC8	g	i	1100	Ma	10.1139/e93-122	4
GD06	Gila County	301.8	54.9	38.6	8.4	9	9	9	0	33.5	249.3	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC9	g	i	1100	Ma	10.1139/e93-122	
GD07	Gila County	268.6	40.6	265.4	3.2	9	9	9	0	33.5	249.3	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC10	g	i	1100	Ma	10.1139/e93-122	
GD06-07	Gila County	282.8	48.9							33.5	249.3	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC15	g	i	1100	Ma	10.1139/e93-122	5
GD08	Gila County	318	61.2	56.1	5.6	13	13	13	0	33.5	249.3	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC11	g	i	1100	Ma	10.1139/e93-122	6
GD09	Gila County	299.2	53.8	21.1	11.5	9	9	9	0	33.5	249.3	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC12	g	i	1100	Ma	10.1139/e93-122	7
GD10	Gila County	267.5	38.2	421.5	3.3	6	6	6	0	33.5	249.3	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC13	g	i	1100	Ma	10.1139/e93-122	8
GD12	Gila County	283.7	44.3	94.2	9.5	4	4	4	0	33.5	249.3	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC14	g	i	1100	Ma	10.1139/e93-122	
