tab 	sites																				
site	location	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description
GD13	Gila County	281.4	42.7	427	2.3	10	10	10	0	33.5	249.3	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC15	g	i	1100	Ma	10.1139/e93-122	
GD12-13	Gila County	282.5	43.5							33.5	249.3	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC15	g	i	1100	Ma	10.1139/e93-122	9
GD17	Gila County	285.9	17.1	34.5	8.3	10	10	10	0	33.6	249.1	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC16	g	i	1100	Ma	10.1139/e93-122	10
GD18	Gila County	345.6	35.2	386	2.8	8	8	8	0	33.5	249.2	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC17	g	i	1100	Ma	10.1139/e93-122	
GD19	Gila County	343.7	34.1	119.6	7	5	5	5	0	33.5	249.2	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC18	g	i	1100	Ma	10.1139/e93-122	
GD20	Gila County	328.8	38.9	242.4	3.6	8	8	8	0	33.5	249.2	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC19	g	i	1100	Ma	10.1139/e93-122	
GD18-20	Gila County	339.6	36.3							33.5	249.2	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC20	g	i	1100	Ma	10.1139/e93-122	11
GD22	Gila County	270.1	40.4	120.3	5.1	8	8	8	0	33.8	249.5	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC20	g	i	1100	Ma	10.1139/e93-122	12
GD23	Gila County	277.6	0	153.8	4.2	9	9	9	0	33.8	249.5	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC21	g	i	1100	Ma	10.1139/e93-122	13
GD24	Gila County	297.9	58.5	168	4	9	9	9	0	33.8	249.5	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC22	g	i	1100	Ma	10.1139/e93-122	14
GD25	Gila County	272.9	52	21	11.5	9	9	9	100	33.2	249.2	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC23	g	i	1100	Ma	10.1139/e93-122	15
GD26	Gila County	285.2	45.6	99.6	6.8	6	6	6	100	33.2	249.2	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC24	g	i	1100	Ma	10.1139/e93-122	16
GD29	Gila County	306.9	66.4	678.5	2	9	9	9	0	33.6	249.4	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC25	g	i	1100	Ma	10.1139/e93-122	17
GD30	Gila County	264.1	33.4	157.6	5.4	6	6	6	0	33.6	249.4	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC26	g	i	1100	Ma	10.1139/e93-122	18
GD11	Gila County	115.3	-69.9	173.7	4.2	8	8	8	0	33.5	249.3	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC27	g	i	1100	Ma	10.1139/e93-122	19
GD15	Gila County	232.7	-71.9	82.8	6.1	8	8	8	0	33.6	249.4	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC28	g	i	1100	Ma	10.1139/e93-122	
GD27	Gila County	215.5	-75.1	484.5	2.5	8	8	8	0	33.6	249.4	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC29	g	i	1100	Ma	10.1139/e93-122	
GD15-27	Gila County	224.9	-73.7							33.6	249.4	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF:LP-DIR-T:DE-BFL;LP-DC4	g	i	1100	Ma	10.1139/e93-122	20
