X,Y,x,y,latitude,longitude,zone,planeType,dip,dipAzimuth,strike,declination,unitId,timedate
-111.8920498,36.28302732,419888.9502,4015710.131,36.28302732,-111.8920498, 12S, Bedding,23.59908485,31.03943062,301.0394287,10.43695068, Cardenas, Sun Apr 11 18:12:59 2021
-111.8920963,36.28303887,419884.7891,4015711.45,36.28303887,-111.8920963, 12S, Bedding,14.96572876,22.92320251,292.9232178,10.43695068, Cardenas, Sun Apr 11 18:11:31 2021
-111.8920875,36.28304791,419885.5926,4015712.446,36.28304791,-111.8920875, 12S, Bedding,16.14808846,33.23157883,303.2315674,10.43695068, Cardenas, Sun Apr 11 18:10:54 2021
-111.8920097,36.28301656,419892.5441,4015708.904,36.28301656,-111.8920097, 12S, Bedding,19.84346962,36.37780762,306.3778076,10.43695068, Cardenas, Sun Apr 11 18:10:15 2021
-111.8919273,36.28299295,419899.9199,4015706.216,36.28299295,-111.8919273, 12S, Bedding,20.01464081,15.14779663,285.1477966,10.43695068, Cardenas, Sun Apr 11 17:02:20 2021
-111.8919668,36.28301124,419896.3957,4015708.278,36.28301124,-111.8919668, 12S, Bedding,17.13824463,4.27159929,274.2716065,10.43695068, Cardenas, Sun Apr 11 17:01:53 2021
-111.8919437,36.28300324,419898.4597,4015707.372,36.28300324,-111.8919437, 12S, Bedding,18.58366203,2.19753051,272.1975403,10.43695068, Cardenas, Sun Apr 11 17:01:24 2021
-111.8919269,36.28301082,419899.9729,4015708.198,36.28301082,-111.8919269, 12S, Bedding,19.96862411,355.8259888,265.8259888,10.43695068, Cardenas, Sun Apr 11 16:59:15 2021
-111.8920075,36.2830172,419892.7392,4015708.973,36.2830172,-111.8920075, 12S, Bedding,21.53090477,31.45097542,301.4509888,10.43695068, Cardenas, Sun Apr 11 16:58:18 2021
-111.8920053,36.28302305,419892.9489,4015709.62,36.28302305,-111.8920053, 12S, Bedding,28.83940506,20.46875954,290.46875,10.43695068, Cardenas, Sun Apr 11 16:57:55 2021
-111.8923194,36.28317336,419864.8952,4015726.552,36.28317336,-111.8923194, 12S, Bedding,24.18449402,21.34774017,291.3477478,10.43695068, Cardenas, Sun Apr 11 16:55:54 2021
-111.8928752,36.28340591,419815.2159,4015752.809,36.28340591,-111.8928752, 12S, Bedding,22.69186974,356.7158508,266.7158508,10.43695068, Cardenas, Sun Apr 11 15:34:12 2021
-111.8928752,36.28340591,419815.2159,4015752.809,36.28340591,-111.8928752, 12S, Bedding,19.88416481,0.58697993,270.5869751,10.43695068, Cardenas, Sun Apr 11 15:33:33 2021
