localityId,localityNa,dataId,x,y,latitude,longitude,zone,altitude,horiz_prec,vert_preci,planeType,dip,dipAzimuth,strike,declinatio,unitId,timedate,notes,layer,path
7308182eab5ce7988b556c9018741616,Locality 1,197e7736fc3bea8838043562053a5a40,508204.191943919984624,3980031.474467399995774,35.964650140000003,-116.909011989999996,11S,3.550877190000000,4.606062120000000,-1.000000000000000,Bedding,21.241102219999998,128.734603880000009,38.734603880000002,11.683135990000000,Diabase sill,Tue Mar 23 09:51:14 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,6e4972af0982de075a560abe75a62204,508204.770295760012232,3980031.036217509768903,35.964646180000003,-116.909005579999999,11S,3.572492440000000,4.589317470000000,-1.000000000000000,Bedding,25.890209200000001,136.240676879999995,46.240676880000002,11.683135990000000,Diabase sill,Tue Mar 23 09:51:09 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,7c21ae37ea21851869cc96e63eb0760c,508204.209827120008413,3980030.651309969834983,35.964642720000001,-116.909011800000002,11S,3.559928960000000,4.599069780000000,-1.000000000000000,Bedding,25.593648909999999,128.284484859999992,38.284484859999999,11.683135990000000,Diabase sill,Tue Mar 23 09:51:05 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,8b830f72600d5a1d4c26d8564b6fb1eb,508205.367831029987428,3980030.693021280225366,35.964643080000002,-116.908998960000005,11S,3.523470600000000,4.627060840000000,-1.000000000000000,Bedding,22.831567759999999,118.130439760000002,28.130439760000002,11.683135990000000,Diabase sill,Tue Mar 23 09:51:00 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,585ec85e7bccfd40c5a3d3b3414cef86,508205.276644899975508,3980030.199621149804443,35.964638639999997,-116.908999980000004,11S,3.529694680000000,4.622314620000000,-1.000000000000000,Bedding,18.784580230000000,124.000862119999994,34.000862120000001,11.683135990000000,Diabase sill,Tue Mar 23 09:50:56 2021,Top chilled contact of diabase,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,d0f024952662d347ddfc80eabc147f65,508202.091497850022279,3980033.389315110165626,35.964667419999998,-116.909035270000004,11S,3.596850850000000,4.570251740000000,-1.000000000000000,Bedding,24.713127140000001,127.536834720000002,37.536834720000002,11.683135990000000,Crystal Springs,Tue Mar 23 09:48:58 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,3a256223c674c88302b1d1feb3cf4623,508202.092799630016088,3980033.790775239933282,35.964671039999999,-116.909035250000002,11S,3.695537920000000,4.490828040000000,-1.000000000000000,Bedding,23.382095339999999,120.871597289999997,30.871597290000000,11.683135990000000,Crystal Springs,Tue Mar 23 09:48:54 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,360e9c4cf6c63be0f8d0678d0855c0a8,508195.679522550024558,3980034.608844969887286,35.964678470000003,-116.909106370000003,11S,3.673083170000000,4.706847720000000,-1.000000000000000,Bedding,24.591039660000000,120.736694340000000,30.736694340000000,11.683135990000000,Crystal Springs,Tue Mar 23 09:48:30 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,d01131817bce583eb040e775b7ba6d67,508196.519885340007022,3980032.601274969987571,35.964660360000003,-116.909097070000001,11S,3.508781280000000,4.728183280000000,-1.000000000000000,Bedding,23.436555859999999,126.369384769999996,36.369384770000003,11.683135990000000,Crystal Springs,Tue Mar 23 09:48:08 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,3d31637d9825b3bde97cda0c81b277ce,508196.571078389999457,3980033.125948689877987,35.964665089999997,-116.909096500000004,11S,3.520917360000000,4.878908510000000,-1.000000000000000,Bedding,25.447154999999999,121.712432860000007,31.712432860000000,11.683135990000000,Crystal Springs,Tue Mar 23 09:47:57 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
