localityId,localityNa,dataId,x,y,latitude,longitude,zone,altitude,horiz_prec,vert_preci,planeType,dip,dipAzimuth,strike,declinatio,unitId,timedate,notes,layer,path
7308182eab5ce7988b556c9018741616,Locality 1,951b9db7360b23d5cb591b084bb31a4d,555522.173833020031452,3963181.779909019824117,35.811194950000001,-116.385425850000004,11S,3.075702350000000,4.936050250000000,-1.000000000000000,Bedding,51.978874210000001,125.529426569999998,35.529426569999998,11.683135990000000,Crystal Springs,Wed Mar 24 17:34:40 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,0cb46723a0fe76fafc0cae367c12c08f,555524.730574970017187,3963188.943249810021371,35.811259380000003,-116.385397049999995,11S,3.202286430000000,4.854884000000000,-1.000000000000000,Bedding,63.163024900000003,142.167785640000005,52.167785639999998,11.683135990000000,Crystal Springs,Wed Mar 24 17:33:46 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,44a365b6ae64bbcb26a980b610e24ca2,555526.060082889976911,3963185.761414340231568,35.811230620000003,-116.385382559999996,11S,2.071309060000000,5.439555850000000,-1.000000000000000,Bedding,57.483119960000003,137.217529299999995,47.217529300000002,11.683135990000000,Crystal Springs,Wed Mar 24 16:52:03 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,70a97e9a2896f6dfe463da0672b71d31,555515.082451869966462,3963201.909616929944605,35.811376830000000,-116.385502939999995,11S,3.177843990000000,4.870918250000000,-1.000000000000000,Bedding,55.338218689999998,129.360870360000007,39.360870360000000,11.683135990000000,Crystal Springs,Wed Mar 24 16:17:30 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,ca9bda1a5ff432f2a691dde8dce84e23,555514.839730979991145,3963202.441595000214875,35.811381640000000,-116.385505589999994,11S,3.160939840000000,4.881904990000000,-1.000000000000000,Bedding,51.824829100000002,133.591156009999992,43.591156009999999,11.683135990000000,Crystal Springs,Wed Mar 24 16:17:23 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,fb16ce59ba1ee514c62408d2f88d63dc,555514.214495919994079,3963203.172727209981531,35.811388270000002,-116.385512460000001,11S,2.963450940000000,5.004247750000000,-1.000000000000000,Bedding,58.084854129999997,132.673080440000007,42.673080440000000,11.683135990000000,Crystal Springs,Wed Mar 24 16:17:11 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,5e3f1df8b4cb411f3fc0e3fe99055e7b,555514.180301400017925,3963201.625095999799669,35.811374319999999,-116.385512950000006,11S,2.818065270000000,5.087538220000000,-1.000000000000000,Bedding,56.838836669999999,132.306121829999995,42.306121830000002,11.683135990000000,Crystal Springs,Wed Mar 24 16:17:06 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,4de5e98156652fef20216e5054d5ad8a,555514.807716359966435,3963201.129058729857206,35.811369810000002,-116.385506039999996,11S,3.231947640000000,4.835188880000000,-1.000000000000000,Bedding,56.162799839999998,133.809417719999999,43.809417719999999,11.683135990000000,Crystal Springs,Wed Mar 24 16:16:59 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,6539d57f0c59796d2ea0d803fe90ff62,555515.015791799989529,3963199.481282639782876,35.811354940000001,-116.385503850000006,11S,3.096546150000000,4.923001010000000,-1.000000000000000,Bedding,53.024486539999998,133.946838380000003,43.946838380000003,11.683135990000000,Crystal Springs,Wed Mar 24 16:16:38 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
7308182eab5ce7988b556c9018741616,Locality 1,0625f50253c9fcc59b663ed8b9b6c264,555516.201888439944014,3963199.173985799774528,35.811352100000001,-116.385490739999995,11S,3.045165860000000,4.954947220000000,-1.000000000000000,Bedding,49.087604519999999,139.587585450000006,49.587585449999999,11.683135990000000,Crystal Springs,Wed Mar 24 16:16:26 2021,,NSH_plane,/Users/yimingzhang/Google Drive/Berkeley/Research/GIS_projects/Jacobsville/GIS/Field_data/NSH_plane.shp|layername=NSH_plane
