X,Y,x,y,latitude,longitude,zone,planeType,dip,dipAzimuth,strike,declination,unitId,timedate
-111.8488493,36.10838787,423599.1964,3996303.897,36.10838787,-111.8488493, 12S, Bedding,11.71312428,49.58350372,319.5834961,10.43695068, Cardenas, Wed Apr 14 13:38:37 2021
-111.8488246,36.10840536,423601.4377,3996305.818,36.10840536,-111.8488246, 12S, Bedding,11.3991766,38.35996246,308.3599548,10.43695068, Cardenas, Wed Apr 14 13:38:27 2021
-111.8488601,36.10840175,423598.2357,3996305.445,36.10840175,-111.8488601, 12S, Bedding,11.96953106,43.89841461,313.898407,10.43695068, Cardenas, Wed Apr 14 13:37:47 2021
-111.848855,36.10836126,423598.6565,3996300.95,36.10836126,-111.848855, 12S, Bedding,13.43007565,49.69954681,319.6995544,10.43695068, Cardenas, Wed Apr 14 13:37:23 2021
-111.8488351,36.1083243,423600.4076,3996296.834,36.1083243,-111.8488351, 12S, Bedding,11.49158573,46.93264008,316.9326477,10.43695068, Cardenas, Wed Apr 14 13:37:15 2021
-111.8487721,36.10832112,423606.0779,3996296.432,36.10832112,-111.8487721, 12S, Bedding,12.65853691,38.29253769,308.2925415,10.43695068, Cardenas, Wed Apr 14 13:36:50 2021
-111.8487813,36.10832295,423605.2479,3996296.642,36.10832295,-111.8487813, 12S, Bedding,16.04135513,33.17636108,303.1763611,10.43695068, Cardenas, Wed Apr 14 13:36:17 2021
-111.8488504,36.10788656,423598.6068,3996248.292,36.10788656,-111.8488504, 12S, Bedding,9.75355053,357.2555237,267.2555237,10.43695068, Cardenas, Wed Apr 14 12:52:48 2021
-111.8488785,36.10791417,423596.1052,3996251.377,36.10791417,-111.8488785, 12S, Bedding,8.56339169,348.5455322,258.5455322,10.43695068, Cardenas, Wed Apr 14 12:51:59 2021
-111.8489142,36.10792553,423592.9031,3996252.664,36.10792553,-111.8489142, 12S, Bedding,6.49712181,352.6201782,262.6201782,10.43695068, Cardenas, Wed Apr 14 12:51:34 2021
-111.8488492,36.10791207,423598.7434,3996251.121,36.10791207,-111.8488492, 12S, Bedding,9.90954208,335.4898071,245.4898071,10.43695068, Cardenas, Wed Apr 14 12:50:24 2021
-111.8488509,36.10790812,423598.589,3996250.684,36.10790812,-111.8488509, 12S, Bedding,9.95989323,340.6981506,250.6981506,10.43695068, Cardenas, Wed Apr 14 12:49:59 2021
-111.8488516,36.10788169,423598.4941,3996247.753,36.10788169,-111.8488516, 12S, Bedding,8.83260059,354.9364624,264.9364624,10.43695068, Cardenas, Wed Apr 14 12:49:45 2021
-111.8490141,36.10765134,423583.6522,3996222.33,36.10765134,-111.8490141, 12S, Bedding,7.27743959,343.3984985,253.3984985,10.43695068, Cardenas, Wed Apr 14 12:07:42 2021
-111.8490449,36.10766764,423580.8889,3996224.162,36.10766764,-111.8490449, 12S, Bedding,8.3296442,334.8974304,244.8974304,10.43695068, Cardenas, Wed Apr 14 12:06:45 2021
-111.849044,36.10768027,423580.9827,3996225.563,36.10768027,-111.849044, 12S, Bedding,6.73756075,327.1273193,237.1273193,10.43695068, Cardenas, Wed Apr 14 12:06:15 2021
-111.8490342,36.10767037,423581.8571,3996224.457,36.10767037,-111.8490342, 12S, Bedding,6.91408157,336.9514465,246.9514465,10.43695068, Cardenas, Wed Apr 14 12:03:50 2021
-111.849273,36.10733151,423560.0353,3996187.057,36.10733151,-111.849273, 12S, Bedding,7.08298063,22.38280869,292.3828125,10.43695068, Cardenas, Wed Apr 14 11:33:09 2021
-111.8492844,36.10731707,423558.9907,3996185.465,36.10731707,-111.8492844, 12S, Bedding,7.57548285,32.47196198,302.4719544,10.43695068, Cardenas, Wed Apr 14 11:33:01 2021
-111.8492897,36.1073078,423558.5051,3996184.441,36.1073078,-111.8492897, 12S, Bedding,10.85612583,54.63027954,324.6302795,10.43695068, Cardenas, Wed Apr 14 11:32:52 2021
