X,Y,x,y,latitude,longitude,zone,planeType,dip,dipAzimuth,strike,declination,unitId,timedate
-112.3295793,36.2350135,380521.4762,4010834.912,36.2350135,-112.3295793, 12S, Bedding,30.31815529,22.09095192,292.0909424,10.43695068, Bass, Fri Apr 16 17:34:28 2021
-112.3293416,36.23491072,380542.6796,4010823.218,36.23491072,-112.3293416, 12S, Bedding,26.71778488,35.71681213,305.7167969,10.43695068, Bass, Fri Apr 16 17:33:14 2021
-112.329441,36.23491796,380533.7568,4010824.144,36.23491796,-112.329441, 12S, Bedding,25.23088455,57.54786301,327.5478516,10.43695068, Bass, Fri Apr 16 17:31:36 2021
-112.3295399,36.23487859,380524.8037,4010819.898,36.23487859,-112.3295399, 12S, Bedding,31.48209381,40.95620346,310.9562073,10.43695068, Bass, Fri Apr 16 17:31:13 2021
-112.3294321,36.23487592,380534.4943,4010819.47,36.23487592,-112.3294321, 12S, Bedding,26.23666573,20.69234085,290.6923218,10.43695068, Bass, Fri Apr 16 17:30:52 2021
-112.3293931,36.23493286,380538.0788,4010825.738,36.23493286,-112.3293931, 12S, Bedding,27.61929512,30.01574326,300.0157471,10.43695068, Bass, Fri Apr 16 17:30:20 2021
-112.329391,36.23487093,380538.173,4010818.865,36.23487093,-112.329391, 12S, Bedding,27.8536911,9.43695068,279.4369507,10.43695068, Bass, Fri Apr 16 17:28:06 2021
-112.329306,36.23492066,380545.8902,4010824.277,36.23492066,-112.329306, 12S, Bedding,29.00725937,28.63604546,298.6360474,10.43695068, Bass, Fri Apr 16 17:27:43 2021
