X,Y,x,y,latitude,longitude,zone,planeType,dip,dipAzimuth,strike,declination,unitId,timedate
-111.9271535,36.04637144,416485.6794,3989489.378,36.04637144,-111.9271535, 12S, Columnar Joint,74.20748901,248.8160858,158.8160858,10.43695068, Unkar Intrusions, Fri Apr 16 09:46:49 2021
-111.9271695,36.04637364,416484.2362,3989489.636,36.04637364,-111.9271695, 12S, Columnar Joint,86.42359924,166.8324585,76.8324585,10.43695068, Unkar Intrusions, Fri Apr 16 09:46:42 2021
-111.9274896,36.0463343,416455.3581,3989485.547,36.0463343,-111.9274896, 12S, Columnar Joint,78.44802856,264.0241699,174.0241699,10.43695068, Unkar Intrusions, Fri Apr 16 09:45:33 2021
-111.9275164,36.04632038,416452.9293,3989484.026,36.04632038,-111.9275164, 12S, Columnar Joint,76.37653351,264.5456543,174.5456543,10.43695068, Unkar Intrusions, Fri Apr 16 09:45:29 2021
-111.9274166,36.04632592,416461.9325,3989484.555,36.04632592,-111.9274166, 12S, Columnar Joint,76.79364014,264.5499573,174.5499573,10.43695068, Unkar Intrusions, Fri Apr 16 09:45:04 2021
-111.9273538,36.04633559,416467.5976,3989485.573,36.04633559,-111.9273538, 12S, Columnar Joint,81.6186676,293.1280518,203.1280518,10.43695068, Unkar Intrusions, Fri Apr 16 09:44:41 2021
-111.9271957,36.04636729,416481.87,3989488.954,36.04636729,-111.9271957, 12S, Columnar Joint,85.99940491,191.8680115,101.8680115,10.43695068, Unkar Intrusions, Fri Apr 16 09:44:14 2021
-111.9272296,36.04636835,416478.8194,3989489.101,36.04636835,-111.9272296, 12S, Columnar Joint,84.95080566,329.8006287,239.8006287,10.43695068, Unkar Intrusions, Fri Apr 16 09:43:46 2021
-111.9272119,36.04634952,416480.3938,3989486.997,36.04634952,-111.9272119, 12S, Columnar Joint,78.94581604,235.6695709,145.6695709,10.43695068, Unkar Intrusions, Fri Apr 16 09:43:34 2021
-111.9273191,36.04628814,416470.6748,3989480.281,36.04628814,-111.9273191, 12S, Columnar Joint,78.11897278,225.0454102,135.0454102,10.43695068, Unkar Intrusions, Fri Apr 16 09:41:33 2021
-111.9273335,36.04629684,416469.3852,3989481.258,36.04629684,-111.9273335, 12S, Columnar Joint,84.73383331,153.9986572,63.99865723,10.43695068, Unkar Intrusions, Fri Apr 16 09:41:28 2021
