X,Y,x,y,latitude,longitude,zone,planeType,dip,dipAzimuth,strike,declination,unitId,timedate
-111.9184022,36.04570106,417273.2785,3989407.549,36.04570106,-111.9184022, 12S, Bedding,25.45920753,317.2409973,227.2409973,10.43695068, Hakatai, Thu Apr 15 20:00:43 2021
-111.918375,36.04573265,417275.7654,3989411.03,36.04573265,-111.918375, 12S, Bedding,28.7976284,327.3685608,237.3685608,10.43695068, Hakatai, Thu Apr 15 20:00:01 2021
-111.9184301,36.04568108,417270.7485,3989405.356,36.04568108,-111.9184301, 12S, Bedding,20.5145874,330.2442017,240.2442017,10.43695068, Hakatai, Thu Apr 15 19:55:52 2021
-111.9183869,36.04570625,417274.6577,3989408.111,36.04570625,-111.9183869, 12S, Bedding,28.2004261,332.5028076,242.5028076,10.43695068, Hakatai, Thu Apr 15 19:53:02 2021
-111.9187556,36.04553306,417241.2731,3989389.214,36.04553306,-111.9187556, 12S, Bedding,24.07250595,328.3664246,238.3664246,10.43695068, Hakatai, Thu Apr 15 19:52:29 2021
-111.9188573,36.04548793,417232.0592,3989384.295,36.04548793,-111.9188573, 12S, Bedding,19.62955093,327.4064331,237.4064331,10.43695068, Hakatai, Thu Apr 15 19:52:10 2021
-111.9188045,36.04555543,417236.8889,3989391.737,36.04555543,-111.9188045, 12S, Bedding,19.73021698,315.0391541,225.0391541,10.43695068, Hakatai, Thu Apr 15 19:51:55 2021
