X,Y,x,y,latitude,longitude,zone,planeType,dip,dipAzimuth,strike,declination,unitId,timedate
-111.9300666,36.02512777,416200.7669,3987135.537,36.02512777,-111.9300666, 12S, Bedding,11.79328346,36.23363495,306.2336426,10.43695068, Hakatai, Thu Apr 15 17:06:23 2021
-111.9302469,36.02466414,416184.0298,3987084.266,36.02466414,-111.9302469, 12S, Bedding,14.65015697,25.52210045,295.5220947,10.43695068, Hakatai, Thu Apr 15 17:04:17 2021
-111.930218,36.0246791,416186.6492,3987085.901,36.0246791,-111.930218, 12S, Bedding,14.60167408,13.13929939,283.1392822,10.43695068, Hakatai, Thu Apr 15 17:04:08 2021
-111.9300837,36.02468275,416198.7521,3987086.19,36.02468275,-111.9300837, 12S, Bedding,11.51869965,14.7949152,284.7949219,10.43695068, Hakatai, Thu Apr 15 17:03:56 2021
-111.9302081,36.02463498,416187.4936,3987080.999,36.02463498,-111.9302081, 12S, Bedding,15.24392986,9.26129818,279.2612915,10.43695068, Hakatai, Thu Apr 15 16:53:52 2021
-111.9299774,36.02487003,416208.5268,3987106.872,36.02487003,-111.9299774, 12S, Bedding,12.88003731,17.82924461,287.8292542,10.43695068, Hakatai, Thu Apr 15 16:53:29 2021
-111.9300605,36.02492344,416201.0961,3987112.867,36.02492344,-111.9300605, 12S, Bedding,17.58539772,24.69297028,294.6929627,10.43695068, Hakatai, Thu Apr 15 16:53:21 2021
-111.9300533,36.02492652,416201.7464,3987113.203,36.02492652,-111.9300533, 12S, Bedding,12.29329586,12.42190361,282.4219055,10.43695068, Hakatai, Thu Apr 15 16:52:18 2021
-111.9300776,36.02488647,416199.519,3987108.782,36.02488647,-111.9300776, 12S, Bedding,14.56972027,11.72250271,281.7225037,10.43695068, Hakatai, Thu Apr 15 16:52:05 2021
-111.93007,36.02475429,416200.061,3987094.114,36.02475429,-111.93007, 12S, Bedding,13.47318459,5.13212061,275.1321106,10.43695068, Hakatai, Thu Apr 15 16:41:18 2021
-111.93008,36.02488695,416199.3038,3987108.837,36.02488695,-111.93008, 12S, Bedding,15.54863548,16.31712151,286.3171387,10.43695068, Hakatai, Thu Apr 15 16:37:45 2021
-111.9301028,36.02489839,416197.2592,3987110.125,36.02489839,-111.9301028, 12S, Bedding,12.67582798,14.36530972,284.3652954,10.43695068, Hakatai, Thu Apr 15 16:37:29 2021
-111.930099,36.02481851,416197.5136,3987101.262,36.02481851,-111.930099, 12S, Bedding,15.34564686,18.45026207,288.4502564,10.43695068, Hakatai, Thu Apr 15 16:37:16 2021
-111.9301176,36.02494495,416195.9779,3987115.303,36.02494495,-111.9301176, 12S, Bedding,13.6530323,4.35304689,274.3530579,10.43695068, Hakatai, Thu Apr 15 16:37:06 2021
-111.9301073,36.02474046,416196.6856,3987092.612,36.02474046,-111.9301073, 12S, Bedding,12.80397511,8.87580109,278.8757935,10.43695068, Hakatai, Thu Apr 15 16:36:56 2021
