tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
CS1-1a		CS1-1																	This study	LP-NOMAG				Death Valley	CS1
CS1-1a	CS1-1a_LP-DIR-T	CS1-1		mt	288.6	77.6	2	13	100	6.6	10.1	873	803	K		hargrave 2021-09-25 17:40:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Death Valley	CS1
CS1-1a	CS1-1a_LP-DIR-T	CS1-1		lt	49.3	60.6	2	6	100	15.0	7.1	573	273	K		hargrave 2021-09-25 17:40:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Death Valley	CS1
CS1-1a	CS1-1a_LP-DIR-T	CS1-1		mt	302.9	54.4	2	13	0	6.6	10.1	873	803	K		hargrave 2021-09-25 17:40:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Death Valley	CS1
CS1-1a	CS1-1a_LP-DIR-T	CS1-1		mt	197.8	-20.0	2	13	-1	6.6	10.1	873	803	K		hargrave 2021-09-25 17:40:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Death Valley	CS1
CS1-1a	CS1-1a_LP-DIR-T	CS1-1		lt	215.1	13.1	2	6	-1	15.0	7.1	573	273	K		hargrave 2021-09-25 17:40:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Death Valley	CS1
CS1-1a	CS1-1a_LP-DIR-T	CS1-1		lt	10.5	55.7	2	6	0	15.0	7.1	573	273	K		hargrave 2021-09-25 17:40:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Death Valley	CS1
CS1-2a	CS1-2a_LP-DIR-T	CS1-2		lt	113.3	57.3	2	6	-1	15.1	3.2	623	373	K		hargrave 2021-08-27 15:01:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Death Valley	CS1
CS1-2a	CS1-2a_LP-DIR-T	CS1-2		mt	285.3	78.1	2	9	100	6.2	9.8	846	773	K		hargrave 2021-08-27 15:01:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Death Valley	CS1
CS1-2a	CS1-2a_LP-DIR-T	CS1-2		lt	54.4	64.4	2	6	100	15.1	3.2	623	373	K		hargrave 2021-08-27 15:01:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Death Valley	CS1
