tab	samples												
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
CS10-8	CS10	0.1	Intrusive:Igneous	Diabase	Diabase		-88.1	0	86.3	102	-78	This study	SO-CMD-NORTH
CS11-1	CS11	0.95	Intrusive:Igneous	Diabase	Diabase		78.2	0	53	435.2	-39	This study	SO-CMD-NORTH
CS11-2	CS11	0.89	Intrusive:Igneous	Diabase	Diabase		73	0	53	435.2	-25	This study	SO-CMD-NORTH
CS11-3	CS11	0.84	Intrusive:Igneous	Diabase	Diabase		63.8	0	53	435.2	-22	This study	SO-CMD-NORTH
CS11-4	CS11	0.62	Intrusive:Igneous	Diabase	Diabase		68.1	0	53	435.2	-25	This study	SO-CMD-NORTH
CS11-5	CS11	0.43	Intrusive:Igneous	Diabase	Diabase		105.8	0	53	435.2	-53	This study	SO-CMD-NORTH
CS11-7	CS11	0.66	Intrusive:Igneous	Diabase	Diabase		71.7	0	53	435.2	-30	This study	SO-CMD-NORTH
CS11-8	CS11	0.65	Intrusive:Igneous	Diabase	Diabase		56.9	0	53	435.2	-24	This study	SO-CMD-NORTH
CS11-9	CS11	0.37	Intrusive:Igneous	Diabase	Diabase		74.9	0	53	435.2	-26	This study	SO-CMD-NORTH
CS12-1	CS12	31	Intrusive:Igneous	Diabase	Diabase		164.7	0	54.8	94.9	-18	This study	SO-CMD-NORTH
CS12-2	CS12	31	Intrusive:Igneous	Diabase	Diabase		145.3	0	54.8	94.9	-23	This study	SO-CMD-NORTH
CS12-3	CS12	40.5	Intrusive:Igneous	Diabase	Diabase		103.5	0	54.8	94.9	-23	This study	SO-CMD-NORTH
CS12-4	CS12	41.5	Intrusive:Igneous	Diabase	Diabase		121.9	0	54.8	94.9	-23	This study	SO-CMD-NORTH
CS12-5	CS12	0.05	Intrusive:Igneous	Diabase	Diabase		6.4	0	54.8	94.9	-29	This study	SO-CMD-NORTH
CS12-6	CS12	1.3	Intrusive:Igneous	Diabase	Diabase		56	0	54.8	94.9	-41	This study	SO-CMD-NORTH
CS12-7	CS12	3.6	Intrusive:Igneous	Diabase	Diabase		118.9	0	54.8	94.9	-35	This study	SO-CMD-NORTH
CS12-8	CS12	5.1	Intrusive:Igneous	Diabase	Diabase		34.2	0	54.8	94.9	-30	This study	SO-CMD-NORTH
CS13-1	CS13	0.35	Intrusive:Igneous	Diabase	Diabase		-7.4	0	82.9	416	-51	This study	SO-CMD-NORTH
CS13-2	CS13	0.4	Intrusive:Igneous	Diabase	Diabase		17.9	0	82.9	416	-18	This study	SO-CMD-NORTH
CS13-3	CS13	0.35	Intrusive:Igneous	Diabase	Diabase		-73.3	0	82.9	416	-40	This study	SO-CMD-NORTH
CS13-4	CS13	0.7	Intrusive:Igneous	Diabase	Diabase		1	0	82.9	416	-17	This study	SO-CMD-NORTH
CS13-5	CS13	0.45	Intrusive:Igneous	Diabase	Diabase		40.9	0	82.9	416	-21	This study	SO-CMD-NORTH
CS13-6	CS13	0.85	Intrusive:Igneous	Diabase	Diabase		6.6	0	82.9	416	-81	This study	SO-CMD-NORTH
CS13-7	CS13	2.5	Intrusive:Igneous	Diabase	Diabase		-6.1	0	82.9	416	-18	This study	SO-CMD-NORTH
CS14-1	CS14	0.4	Intrusive:Igneous	Diabase	Diabase		260.1	0	55.8	98.7	-76	This study	SO-CMD-NORTH
CS14-2	CS14	0.6	Intrusive:Igneous	Diabase	Diabase		274.1	0	55.8	98.7	-78	This study	SO-CMD-NORTH
