pole_name,age,age_high,age_low,age_unit,age_uncertainty,citations,dir_alpha95,dir_polarity,dir_dec,dir_inc,dir_n_specimens,geologic_classes,geologic_types,height,lat,lithologies,location,lon,site,vgp_lat,vgp_lon,pole_name,dir_k,dir_n_samples,dir_tilt_correction,dir_r,vgp_lat_rev,vgp_lon_rev,vgp_dm,vgp_dp,paleolatitude
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,4.1,r,117.1,-58.1,6.0,Extrusive:Igneous,Lava Flow,442.1,48.7943,Basalt,Simpson Island,272.3444,SI2a(1.1 to 1.6),-44.83950806251922,14.173412234215618,Osler reverse lower,,,,,44.83950806251922,194.17341223421562,,,-38.77434170762549
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,4.8,r,152.3,-68.8,6.0,Extrusive:Igneous,Lava Flow,451.2,48.794,Basalt,Simpson Island,272.3445,SI2a(10.2 to 12.8),-72.16822342731882,23.84178235955585,Osler reverse lower,,,,,72.16822342731882,203.84178235955585,,,-52.19751876417638
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,4.4,r,107.4,-67.3,5.0,Extrusive:Igneous,Lava Flow,527.5,48.7916,Basalt,Simpson Island,272.3461,SI2b(10.5 to 10.6),-44.70267231587032,32.86354337323161,Osler reverse lower,,,,,44.70267231587032,212.8635433732316,,,-50.083536636962464
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,4.2,r,120.0,-62.4,8.0,Extrusive:Igneous,Lava Flow,519.2,48.7921,Basalt,Simpson Island,272.3454,SI2b(2.2 to 2.6),-49.29180571227397,18.68634773636859,Osler reverse lower,,,,,49.29180571227397,198.6863477363686,,,-43.72368002531006
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,4.4,r,108.7,-39.2,6.0,Extrusive:Igneous,Lava Flow,592.0,48.7903,Basalt,Simpson Island,272.3455,SI2c(0.0 to 2.1),-28.66308304850423,4.006105133930532,Osler reverse lower,,,,,28.66308304850423,184.00610513393053,,,-22.18514616582576
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,2.4,r,111.3,-47.3,6.0,Extrusive:Igneous,Lava Flow,594.1,48.7902,Basalt,Simpson Island,272.3455,SI2c(2.1 to 18.6),-34.66751865926003,7.479130542129724,Osler reverse lower,,,,,34.66751865926003,187.47913054212972,,,-28.450819521737436
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,6.1,r,84.0,-68.1,6.0,Extrusive:Igneous,Lava Flow,846.3,48.7799,Basalt,Simpson Island,272.3705,SI3(103.3 to 110.3),-32.89174834948689,44.45794184630148,Osler reverse lower,,,,,32.89174834948689,224.45794184630148,,,-51.20089775698439
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,6.2,r,109.1,-73.7,6.0,Extrusive:Igneous,Lava Flow,755.5,48.7823,Basalt,Simpson Island,272.3682,SI3(12.5 to 20.1),-49.302896119510415,45.34718944961037,Osler reverse lower,,,,,49.302896119510415,225.34718944961037,,,-59.67915667613019
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,5.0,r,81.5,-63.7,5.0,Extrusive:Igneous,Lava Flow,867.8,48.7791,Basalt,Simpson Island,272.3708,SI3(124.8 to 130.4),-27.805584702150384,40.55490379421758,Osler reverse lower,,,,,27.805584702150384,220.55490379421758,,,-45.332466119557715
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,4.5,r,135.4,-69.3,6.0,Extrusive:Igneous,Lava Flow,745.3,48.7828,Basalt,Simpson Island,272.3674,SI3(2.3 to 5.5),-62.00498425789554,27.958825319997175,Osler reverse lower,,,,,62.00498425789554,207.95882531999717,,,-52.920308387592094
