tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
CS12-2	CS12	31					  145.3	    0.0	   54.8	   94.9	  -23.0	This study	SO-CMD-NORTH
CS12-3	CS12	40.5					  103.5	    0.0	   54.8	   94.9	  -23.0	This study	SO-CMD-NORTH
CS12-4	CS12	41.5					  121.9	    0.0	   54.8	   94.9	  -23.0	This study	SO-CMD-NORTH
CS12-5	CS12	0.05					    6.4	    0.0	   54.8	   94.9	  -29.0	This study	SO-CMD-NORTH
CS12-6	CS12	1.3					   56.0	    0.0	   54.8	   94.9	  -41.0	This study	SO-CMD-NORTH
CS12-7	CS12	3.6					  118.9	    0.0	   54.8	   94.9	  -35.0	This study	SO-CMD-NORTH
CS12-8	CS12	5.1					   34.2	    0.0	   54.8	   94.9	  -30.0	This study	SO-CMD-NORTH
CS13-1	CS13	0.35					   -7.4	    0.0	   83.0	  416.0	  -51.0	This study	SO-CMD-NORTH
CS13-2	CS13	0.4					   17.9	    0.0	   83.0	  416.0	  -18.0	This study	SO-CMD-NORTH
CS13-3	CS13	0.35					  -73.3	    0.0	   83.0	  416.0	  -40.0	This study	SO-CMD-NORTH
CS13-4	CS13	0.7					    1.0	    0.0	   83.0	  416.0	  -17.0	This study	SO-CMD-NORTH
CS13-5	CS13	0.45					   40.9	    0.0	   83.0	  416.0	  -21.0	This study	SO-CMD-NORTH
CS13-6	CS13	0.85					    6.6	    0.0	   83.0	  416.0	  -81.0	This study	SO-CMD-NORTH
CS13-7	CS13	2.5					   -6.1	    0.0	   83.0	  416.0	  -18.0	This study	SO-CMD-NORTH
CS14-1	CS14	0.4					  260.1	    0.0	   55.8	   98.7	  -76.0	This study	SO-CMD-NORTH
CS14-2	CS14	0.6					  274.1	    0.0	   55.8	   98.7	  -78.0	This study	SO-CMD-NORTH
CS14-3	CS14	0.4					   63.1	    0.0	   55.8	   98.7	  -27.0	This study	SO-CMD-NORTH
CS14-4	CS14	0					  276.1	    0.0	   55.8	   98.7	  -65.0	This study	SO-CMD-NORTH
CS14-7	CS14	2					   20.1	    0.0	   55.8	   98.7	  -13.0	This study	SO-CMD-NORTH
CS14-8	CS14	40					   70.1	    0.0	   55.8	   98.7	  -29.0	This study	SO-CMD-NORTH
CS15-1	CS15	1.2					   79.1	    0.0	   69.0	   98.9	  -82.0	This study	SO-CMD-NORTH
CS15-2	CS15	0.5					  -10.9	    0.0	   69.0	   98.9	  -50.0	This study	SO-CMD-NORTH
CS15-3	CS15	0.6					   95.1	    0.0	   69.0	   98.9	   -5.0	This study	SO-CMD-NORTH
CS15-4	CS15	1.3					  -11.9	    0.0	   69.0	   98.9	  -23.0	This study	SO-CMD-NORTH
CS15-6	CS15	1.7					   28.1	    0.0	   69.0	   98.9	  -24.0	This study	SO-CMD-NORTH
CS15-7	CS15	0.7					  -22.9	    0.0	   69.0	   98.9	  -37.0	This study	SO-CMD-NORTH
CS15-8	CS15	0.4					  -38.9	    0.0	   69.0	   98.9	  -17.0	This study	SO-CMD-NORTH
