tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
CS3-1b	CS3-1		This study	LP-NOMAG		
CS3-2b	CS3-2		This study	LP-NOMAG		
CS3-4b	CS3-4		This study	LP-NOMAG		
CS3-5b	CS3-5		This study	LP-NOMAG		
CS3-6b	CS3-6		This study	LP-NOMAG		
CS3-7b	CS3-7		This study	LP-NOMAG		
CS3-8b	CS3-8		This study	LP-NOMAG		
CS4-1b	CS4-1		This study	LP-NOMAG		
CS4-2b	CS4-2		This study	LP-NOMAG		
CS4-3b	CS4-3		This study	LP-NOMAG		
CS4-4b	CS4-4		This study	LP-NOMAG		
CS4-5b	CS4-5		This study	LP-NOMAG		
CS4-6b	CS4-6		This study	LP-NOMAG		
CS4-7b	CS4-7		This study	LP-NOMAG		
CS4-8b	CS4-8		This study	LP-NOMAG		
CS4-9b	CS4-9		This study	LP-NOMAG		
CS5-1b	CS5-1		This study	LP-NOMAG		
CS5-2b	CS5-2		This study	LP-NOMAG		
CS5-3b	CS5-3		This study	LP-NOMAG		
CS5-4b	CS5-4		This study	LP-NOMAG		
CS5-5b	CS5-5		This study	LP-NOMAG		
CS5-6b	CS5-6		This study	LP-NOMAG		
CS5-8b	CS5-8		This study	LP-NOMAG		
CS7-2b	CS7-2		This study	LP-NOMAG		
CS7-3b	CS7-3		This study	LP-NOMAG		
CS7-4b	CS7-4		This study	LP-NOMAG		
CS7-5b	CS7-5		This study	LP-NOMAG		
CS7-6b	CS7-6		This study	LP-NOMAG		
CS7-7b	CS7-7		This study	LP-NOMAG		
CS7-8b	CS7-8		This study	LP-NOMAG		
CS7-9b	CS7-9		This study	LP-NOMAG		
CS9-1b	CS9-1		This study	LP-NOMAG		
CS9-2b	CS9-2		This study	LP-NOMAG		
CS9-3b	CS9-3		This study	LP-NOMAG		
CS9-4b	CS9-4		This study	LP-NOMAG		
CS9-5b	CS9-5		This study	LP-NOMAG		
CS9-6b	CS9-6		This study	LP-NOMAG		
CS9-7b	CS9-7		This study	LP-NOMAG		
CS9-8b	CS9-8		This study	LP-NOMAG		
CS10-1b	CS10-1		This study	LP-NOMAG		
CS10-2b	CS10-2		This study	LP-NOMAG		
CS10-3b	CS10-3		This study	LP-NOMAG		
CS10-4b	CS10-4		This study	LP-NOMAG		
CS10-5b	CS10-5		This study	LP-NOMAG		
CS10-6b	CS10-6		This study	LP-NOMAG		
CS10-7b	CS10-7		This study	LP-NOMAG		
CS10-8b	CS10-8		This study	LP-NOMAG		
CS11-1b	CS11-1		This study	LP-NOMAG		
CS11-2b	CS11-2		This study	LP-NOMAG		
CS11-3b	CS11-3		This study	LP-NOMAG		
CS11-4b	CS11-4		This study	LP-NOMAG		
CS11-5b	CS11-5		This study	LP-NOMAG		
CS11-7b	CS11-7		This study	LP-NOMAG		
CS11-8b	CS11-8		This study	LP-NOMAG		
CS11-9b	CS11-9		This study	LP-NOMAG		
CS12-1b	CS12-1		This study	LP-NOMAG		
CS12-2b	CS12-2		This study	LP-NOMAG		
CS12-3b	CS12-3		This study	LP-NOMAG		
CS12-4b	CS12-4		This study	LP-NOMAG		
CS12-5b	CS12-5		This study	LP-NOMAG		
CS12-6b	CS12-6		This study	LP-NOMAG		
CS12-7b	CS12-7		This study	LP-NOMAG		
CS12-8b	CS12-8		This study	LP-NOMAG		
CS13-1b	CS13-1		This study	LP-NOMAG		
CS13-2b	CS13-2		This study	LP-NOMAG		
CS13-3b	CS13-3		This study	LP-NOMAG		
CS13-4b	CS13-4		This study	LP-NOMAG		
CS13-5b	CS13-5		This study	LP-NOMAG		
CS13-6b	CS13-6		This study	LP-NOMAG		
CS13-7b	CS13-7		This study	LP-NOMAG		
CS14-1b	CS14-1		This study	LP-NOMAG		
CS14-2b	CS14-2		This study	LP-NOMAG		
CS14-3b	CS14-3		This study	LP-NOMAG		
CS14-4b	CS14-4		This study	LP-NOMAG		
CS14-7b	CS14-7		This study	LP-NOMAG		
CS14-8b	CS14-8		This study	LP-NOMAG		
CS15-1b	CS15-1		This study	LP-NOMAG		
CS15-2b	CS15-2		This study	LP-NOMAG		
CS15-3b	CS15-3		This study	LP-NOMAG		
CS15-4b	CS15-4		This study	LP-NOMAG		
CS15-6b	CS15-6		This study	LP-NOMAG		
CS15-7b	CS15-7		This study	LP-NOMAG		
CS15-8b	CS15-8		This study	LP-NOMAG		
