tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
CS1	Death Valley	CS1-1:CS1-2:CS1-3:CS1-4:CS1-5:CS1-6:CS1-7:CS1-8	CS1-1a:CS1-2a:CS1-3a:CS1-4a:CS1-5a:CS1-6a:CS1-7a:CS1-8a	    4.3 	lt	    7.6 	   54.0 	   166 	8	8 	8 	0 	n	7.9578 	0	35.9688	-116.919		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    6.0 	    4.2 	   83.6 	  343.9 
CS1	Death Valley	CS1-1:CS1-2:CS1-3:CS1-4:CS1-5:CS1-6:CS1-7:CS1-8	CS1-1a:CS1-2a:CS1-3a:CS1-4a:CS1-5a:CS1-6a:CS1-7a:CS1-8a	    4.2 	mt	  303.0 	   50.0 	   175 	8	8 	8 	0 	n	7.9600 	0	35.9688	-116.919		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    5.6 	    3.8 	   42.8 	  164.0 
CS1	Death Valley	CS1-1:CS1-2:CS1-3:CS1-4:CS1-5:CS1-6:CS1-7:CS1-8	CS1-1a:CS1-2a:CS1-3a:CS1-4a:CS1-5a:CS1-6a:CS1-7a:CS1-8a	    4.3 	lt	   44.5 	   60.5 	   165 	8	8 	8 	0 	n	7.9576 	100	35.9688	-116.919		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.5 	    5.0 	   55.2 	  310.2 
CS1	Death Valley	CS1-1:CS1-2:CS1-3:CS1-4:CS1-5:CS1-6:CS1-7:CS1-8	CS1-1a:CS1-2a:CS1-3a:CS1-4a:CS1-5a:CS1-6a:CS1-7a:CS1-8a	    4.2 	mt	  292.8 	   73.3 	   175 	8	8 	8 	0 	n	7.9599 	100	35.9688	-116.919		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    7.5 	    6.7 	   41.7 	  203.7 
CS10	Death Valley	CS10-1:CS10-2:CS10-3:CS10-5:CS10-6:CS10-7	CS10-1a:CS10-2a:CS10-3a:CS10-5a:CS10-6a:CS10-7a	   11.4 	lt	  356.3 	   61.2 	    35 	6	6 	6 	0 	n	5.8581 	0	35.7884	-116.1417		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   17.5 	   13.4 	   82.9 	  221.1 
CS10	Death Valley	CS10-1:CS10-2:CS10-3:CS10-5:CS10-6:CS10-7	CS10-1a:CS10-2a:CS10-3a:CS10-5a:CS10-6a:CS10-7a	   11.4 	lt	   73.8 	   10.7 	    35 	6	6 	6 	0 	t	5.8582 	100	35.7884	-116.1417		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   11.6 	    5.9 	   16.3 	  339.0 
CS11	Death Valley	CS11-2:CS11-3:CS11-4:CS11-5:CS11-6:CS11-7:CS11-8	CS11-2a:CS11-3a:CS11-4a:CS11-5a:CS11-6a:CS11-7a:CS11-8a	   14.7 	lt	  337.8 	   58.6 	    18 	7	7 	7 	0 	n	6.6616 	0	35.7827	-116.1269		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   21.8 	   16.2 	   72.1 	  171.9 
CS11	Death Valley	CS11-2:CS11-3:CS11-4:CS11-5:CS11-6:CS11-7:CS11-8	CS11-2a:CS11-3a:CS11-4a:CS11-5a:CS11-6a:CS11-7a:CS11-8a	   14.7 	lt	   36.4 	   34.6 	    18 	7	7 	7 	0 	n	6.6620 	100	35.7827	-116.1269		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   16.9 	    9.7 	   53.9 	  351.7 
CS12	Death Valley	CS12-1:CS12-2:CS12-3:CS12-4:CS12-5:CS12-8	CS12-1a:CS12-2a:CS12-3a:CS12-4a:CS12-5a:CS12-8a	   19.5 	lt	    8.1 	   41.5 	    13 	6	6 	6 	0 	n	5.6087 	0	35.7789	-116.1206		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   23.8 	   14.5 	   76.2 	   31.2 
CS12	Death Valley	CS12-1:CS12-2:CS12-3:CS12-6:CS12-8	CS12-1a:CS12-2a:CS12-3a:CS12-6a:CS12-8a	   15.4 	mt	  284.7 	    2.3 	    26 	5	5 	5 	0 	t	4.8447 	0	35.7789	-116.1206		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:DE-BFL-O:LP-DC4:DE-FM	g	   15.4 	    7.7 	   12.6 	  146.1 
