tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
CB1	Grand Canyon	CB1-1:CB1-2:CB1-3:CB1-4:CB1-8	CB1-1a:CB1-2a:CB1-3a:CB1-4a:CB1-8a	   14.2 	lt	  349.9 	   61.2 	    30 	5	5 	5 	0 	n	4.8673 	0	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   21.8 	   16.7 	   80.0 	  199.6 
CB1	Grand Canyon	CB1-1:CB1-2:CB1-3:CB1-4:CB1-5:CB1-6:CB1-7:CB1-8	CB1-1a:CB1-2a:CB1-3a:CB1-4a:CB1-5a:CB1-6a:CB1-7a:CB1-8a	    4.1 	mt	  253.2 	   41.0 	   179 	8	8 	8 	0 	t	7.9609 	0	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    5.0 	    3.0 	    1.2 	  186.8 
CB1	Grand Canyon	CB1-1:CB1-2:CB1-3:CB1-4:CB1-8	CB1-1a:CB1-2a:CB1-3a:CB1-4a:CB1-8a	   14.2 	lt	    1.2 	   43.4 	    30 	5	5 	5 	0 	n	4.8669 	100	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   17.7 	   11.0 	   79.2 	   62.4 
CB1	Grand Canyon	CB1-1:CB1-2:CB1-3:CB1-4:CB1-5:CB1-6:CB1-7:CB1-8	CB1-1a:CB1-2a:CB1-3a:CB1-4a:CB1-5a:CB1-6a:CB1-7a:CB1-8a	    4.2 	mt	  271.2 	   50.9 	   179 	8	8 	8 	0 	t	7.9609 	100	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    5.7 	    3.8 	   18.9 	  184.1 
CB10	Grand Canyon	CB10-1:CB10-2:CB10-4:CB10-5:CB10-6:CB10-7:CB10-8	CB10-1a:CB10-2a:CB10-4a:CB10-5a:CB10-6a:CB10-7a:CB10-8a	    7.9 	lt	  357.7 	   64.7 	    59 	7	7 	7 	0 	n	6.8979 	0	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   12.7 	   10.2 	   79.4 	  239.6 
CB10	Grand Canyon	CB10-1:CB10-2:CB10-4:CB10-5:CB10-6:CB10-7:CB10-8	CB10-1a:CB10-2a:CB10-4a:CB10-5a:CB10-6a:CB10-7a:CB10-8a	    6.9 	mt	  267.5 	   40.2 	    77 	7	7 	7 	0 	t	6.9222 	0	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    8.3 	    5.0 	   11.4 	  178.4 
CB10	Grand Canyon	CB10-1:CB10-2:CB10-4:CB10-5:CB10-6:CB10-7:CB10-8	CB10-1a:CB10-2a:CB10-4a:CB10-5a:CB10-6a:CB10-7a:CB10-8a	    7.9 	lt	  359.6 	   54.4 	    59 	7	7 	7 	0 	n	6.8982 	100	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   11.1 	    7.8 	   88.8 	   83.9 
CB10	Grand Canyon	CB10-1:CB10-2:CB10-4:CB10-5:CB10-6:CB10-7:CB10-8	CB10-1a:CB10-2a:CB10-4a:CB10-5a:CB10-6a:CB10-7a:CB10-8a	    6.9 	mt	  276.4 	   40.7 	    77 	7	7 	7 	0 	t	6.9221 	100	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    8.4 	    5.1 	   18.4 	  174.0 
CB11	Grand Canyon	CB11-2:CB11-4:CB11-5:CB11-6:CB11-7:CB11-8	CB11-2a:CB11-4a:CB11-5a:CB11-6a:CB11-7a:CB11-8a	    6.9 	lt	   13.7 	   58.2 	    96 	6	6 	6 	0 	n	5.9481 	0	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   10.2 	    7.5 	   78.8 	  319.7 
CB11	Grand Canyon	CB11-2:CB11-4:CB11-5:CB11-6:CB11-7:CB11-8	CB11-2a:CB11-4a:CB11-5a:CB11-6a:CB11-7a:CB11-8a	    6.3 	mt	  243.0 	   68.5 	   116 	6	6 	6 	0 	t	5.9568 	0	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   10.6 	    9.0 	   13.6 	  213.6 
CB11	Grand Canyon	CB11-2:CB11-4:CB11-5:CB11-6:CB11-7:CB11-8	CB11-2a:CB11-4a:CB11-5a:CB11-6a:CB11-7a:CB11-8a	    6.8 	lt	   11.8 	   47.9 	    97 	6	6 	6 	0 	n	5.9483 	100	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    8.9 	    5.8 	   77.8 	   10.6 
CB11	Grand Canyon	CB11-2:CB11-4:CB11-5:CB11-6:CB11-7:CB11-8	CB11-2a:CB11-4a:CB11-5a:CB11-6a:CB11-7a:CB11-8a	    6.2 	mt	  270.7 	   71.8 	   116 	6	6 	6 	0 	t	5.9571 	100	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   10.9 	    9.6 	   29.8 	  208.9 
CB12	Grand Canyon	CB12-1:CB12-2:CB12-3:CB12-5:CB12-6:CB12-7:CB12-8	CB12-1a:CB12-2a:CB12-3a:CB12-5a:CB12-6a:CB12-7a:CB12-8a	    4.7 	lt	    4.9 	   61.0 	   164 	7	7 	7 	0 	n	6.9635 	0	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    7.2 	    5.5 	   82.9 	  279.3 
CB12	Grand Canyon	CB12-1:CB12-2:CB12-3:CB12-4:CB12-5:CB12-6:CB12-7:CB12-8	CB12-1a:CB12-2a:CB12-3a:CB12-4a:CB12-5a:CB12-6a:CB12-7a:CB12-8a	    3.8 	mt	  258.9 	   40.4 	   208 	8	8 	8 	0 	t	7.9664 	0	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    4.6 	    2.8 	    5.0 	  183.2 
CB12	Grand Canyon	CB12-1:CB12-2:CB12-3:CB12-5:CB12-6:CB12-7:CB12-8	CB12-1a:CB12-2a:CB12-3a:CB12-5a:CB12-6a:CB12-7a:CB12-8a	    4.7 	lt	    4.9 	   50.5 	   166 	7	7 	7 	0 	n	6.9638 	100	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.3 	    4.2 	   83.7 	   26.8 
CB12	Grand Canyon	CB12-1:CB12-2:CB12-3:CB12-4:CB12-5:CB12-6:CB12-7:CB12-8	CB12-1a:CB12-2a:CB12-3a:CB12-4a:CB12-5a:CB12-6a:CB12-7a:CB12-8a	    3.9 	mt	  267.9 	   42.5 	   207 	8	8 	8 	0 	t	7.9661 	100	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    4.8 	    3.0 	   12.6 	  179.6 
CB13	Grand Canyon	CB13-2:CB13-3:CB13-4:CB13-5:CB13-6:CB13-7	CB13-2a:CB13-3a:CB13-4a:CB13-5a:CB13-6a:CB13-7a	    7.0 	lt	  347.1 	   59.9 	    91 	6	6 	6 	0 	n	5.9453 	0	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   10.6 	    8.0 	   78.9 	  187.0 
CB13	Grand Canyon	CB13-1:CB13-2:CB13-3:CB13-4:CB13-5:CB13-6:CB13-7	CB13-1a:CB13-2a:CB13-3a:CB13-4a:CB13-5a:CB13-6a:CB13-7a	    5.7 	mt	  266.7 	    5.7 	   115 	7	7 	7 	0 	t	6.9477 	0	36.1	-111.8		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    5.7 	    2.9 	   -1.0 	  162.5 
