tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
CB1-1a		CB1-1																	This study	LP-NOMAG				Grand Canyon	CB1
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		ht	329.7	67.3	3	13	-1	1.8	15.1	963	883	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grand Canyon	CB1
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		lt	3.2	67.7	3	4	0	43.5	1.6	573	273	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grand Canyon	CB1
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		mt	245.6	40.4	3	14	0	0.0	0.6	855	773	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Grand Canyon	CB1
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		ht	243.8	37.3	3	13	0	1.8	15.1	963	883	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grand Canyon	CB1
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		lt	11.2	48.6	3	4	100	43.5	1.6	573	273	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grand Canyon	CB1
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		mt	262.3	52.7	3	14	100	0.0	0.6	855	773	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Grand Canyon	CB1
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		ht	258.4	50.3	3	13	100	1.8	15.1	963	883	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grand Canyon	CB1
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		mt	330.3	70.7	3	14	-1	0.0	0.6	855	773	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Grand Canyon	CB1
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		lt	147.5	47.0	3	4	-1	43.5	1.6	573	273	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grand Canyon	CB1
CB1-2a	CB1-2a_LP-DIR-T	CB1-2		lt	150.4	0.7	3	4	-1	38.1	4.1	573	273	K		hargrave 2021-11-30 10:41:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grand Canyon	CB1
