Site,Latitude,Longitude,thickness
CS1,35.9688,-116.919,
CS2,35.9651,-116.913,3.3
CS3,35.9647,-116.9091,7
CS4,35.9644,-116.9057,101
CS5,35.9603,-116.8804,
CS6,35.9618,-116.8829,
CS7,35.8154,-116.3886,100
CS8,35.8114,-116.3854,8.2
CS9,35.8112,-116.3855,
CS10,35.7884,-116.1417,
CS11,35.7827,-116.1269,
CS12,35.7789,-116.1206,
CS13,35.8187,-116.0938,14
CS14,35.6869,-116.4208,
CS15,35.6869,-116.4199,2.4
