sample,strat_level
CB6-1,1.5
CB6-2,1.5
CB6-3,2.2
CB6-4,2.4
CB6-5,2.9
CB6-6,3.2
CB6-7,2.9
CB6-8,4.4
CB7-1,22.2
CB7-2,22.2
CB7-3,22.2
CB7-4,22.2
CB7-5,28.2
CB7-6,28.2
CB7-7,28.2
CB7-8,28.2
