thickness,grain size,lithology,structure
4,C,basalt,
11.4,C,basalt,vesicles
4.7,M,vesicular basalt,many vesicles; flow top
2.7,C,basalt,
10.5,C,basalt,
7.1,C,basalt,vesicles
1.1,C,basalt,
5.1,M,vesicular basalt,many vesicles
1.3,F,sandstone,flow top
1.5,cover,cover,
50.8,C,basalt,
6,M,vesicular basalt,many vesicles
0.7,F,sandstone,flow top
3.5,cover,cover,
17.3,C,basalt,
2.1,cover,cover,
1,F,sandstone,Nankoweap
