sample,strat_level
CB1-1,117.8
CB1-2,117.8
CB1-3,117.8
CB1-4,117.8
CB1-5,121.8
CB1-6,121.8
CB1-7,121.8
CB1-8,121.8
CB2-1,96.2
CB2-2,96.2
CB2-3,96.2
CB2-4,96.2
CB2-5,96.2
CB2-6,96.2
CB2-7,96.2
CB2-8,96.2
CB3-1,50.3
CB3-2,50.3
CB3-3,50.3
CB3-4,50.3
CB3-5,51.9
CB3-6,51.9
CB3-7,51.9
CB3-8,51.9
CB4-1,20.3
CB4-2,20.3
CB4-3,22.1
CB4-4,22.1
CB4-5,22.1
CB4-6,22.1
CB4-7,22.1
CB4-8,22.1
CB5-1,10.9
CB5-2,10.9
CB5-3,7.7
CB5-4,7.2
CB5-5,7.7
CB5-6,8.1
CB5-7,7.9
CB5-8,7.4
CB5-9,8.1
