sample,strat_level
CB8-1,4.9
CB8-2,5.1
CB8-3,5.05
CB8-4,5.1
CB8-5,5.2
CB8-6,5.15
CB8-7,5
CB8-8,4.9
CB9-1,19.5
CB9-2,19.5
CB9-3,19.5
CB9-4,19.5
CB9-5,19.5
CB9-6,19.5
CB9-7,19.5
CB9-8,19.5
CB9-9,19.5
CB10-1,44.8
CB10-2,44.8
CB10-3,41.8
CB10-4,41.8
CB10-5,43.8
CB10-6,42.8
CB10-7,42.8
CB10-8,42.8
CBS1-1,58.8
CBS1-2,58.8
CBS1-3,58.8
CBS1-4,58.8
CBS1-5,58.8
CBS1-6,58.8
CBS1-7,58.8
CBS1-8,58.8
CB11-1,74.8
CB11-2,74.8
CB11-3,74.8
CB11-4,74.8
CB11-5,74.8
CB11-6,74.8
CB11-7,74.8
CB11-8,74.8
CB12-1,96
CB12-2,96
CB12-3,96.1
CB12-4,95.5
CB12-5,95.8
CB12-6,95.8
CB12-7,96.3
CB12-8,96.3
CB13-1,147.7
CB13-2,147.7
CB13-3,147.7
CB13-4,147.7
CB13-5,147.7
CB13-6,147.7
CB13-7,147.7
CB13-8,147.7
CB14-1,183.4
CB14-2,183.4
CB14-3,183.4
CB14-4,183.4
CB14-5,181.4
CB14-6,181.4
CB14-7,181.4
CB14-8,181.4
CB15-1,142.6
CB15-2,142.6
CB15-3,142.6
CB15-4,142.6
CB15-5,142.6
CB15-6,142.6
CB16-1,155.2
CB16-2,155.2
CB16-3,155.2
CB16-4,155.2
CB16-5,155.2
CB16-6,155.2
CB16-7,155.2
CB16-8,155.2
CB17-1,212.3
CB17-2,212.3
CB17-3,212.3
CB17-4,212.3
CB17-5,212.3
CB17-6,212.3
CB17-7,212.3
CB17-8,212.3
CB18-1,258.5
CB18-2,258.5
CB18-3,258.5
CB18-4,258.5
CB18-5,258.5
CB18-6,258.5
CB18-7,258.5
CB18-8,258.5
