thickness,grain size,lithology,structure
2,C,basalt,
12,C,basalt,
2.7,M,vesicular basalt,many vesicles
0.5,F,sandstone,flow top
4.2,C,basalt,
13.5,C,basalt,
18,C,basalt,
23.6,C,basalt,
12.6,C,basalt,
1.5,M,vesicular basalt,many vesicles
1,F,sandstone,Nankoweap
