site,location,dir_dec,dir_inc,dir_k,dir_alpha95,dir_n_samples,lon,lat,citations,paleolatitude,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev
GD01-02,Gila County,279.2,57.0,,,,249.5,33.7,10.1139/e93-122,37.593842477480926,26.351869143590058,188.70652341880233,-26.351869143590058,8.706523418802334
GD03,Gila County,285.3,51.4,165.0,3.6,11.0,249.5,33.8,10.1139/e93-122,32.0605262504513,28.758730358906075,180.6772544828649,-28.758730358906075,0.6772544828648961
GD04,Gila County,295.5,56.6,81.9,7.7,7.0,249.5,33.8,10.1139/e93-122,37.17267129056394,38.40269160445029,182.90278467291765,-38.40269160445029,2.9027846729176474
GD05,Gila County,283.2,26.0,108.5,5.8,7.0,249.5,33.8,10.1139/e93-122,13.705006326360909,18.430410393018892,163.94128426874477,-18.430410393018892,343.94128426874477
GD06-07,Gila County,282.8,48.9,,,,249.3,33.5,10.1139/e93-122,29.819642553796932,25.769217390019293,179.3386163861058,-25.769217390019293,359.3386163861058
GD08,Gila County,318.0,61.2,56.1,5.6,13.0,249.3,33.5,10.1139/e93-122,42.28641373715193,56.07926957112119,186.79460193642007,-56.07926957112119,6.794601936420065
GD09,Gila County,299.2,53.8,21.1,11.5,9.0,249.3,33.5,10.1139/e93-122,34.339458319527466,40.33529942724938,178.29068587155018,-40.33529942724938,358.2906858715502
GD10,Gila County,267.5,38.2,421.5,3.3,6.0,249.3,33.5,10.1139/e93-122,21.477712774675975,9.68538852046911,178.7181852992997,-9.68538852046911,358.7181852992997
GD17,Gila County,285.9,17.1,34.5,8.3,10.0,249.1,33.6,10.1139/e93-122,8.744703147369657,18.039172348728712,157.70105687219313,-18.039172348728712,337.70105687219313
GD18-20,Gila County,339.6,36.3,,,,249.2,33.5,10.1139/e93-122,20.16760291118242,67.511387105992,128.0068743323605,-67.511387105992,308.0068743323605
GD22,Gila County,270.1,40.4,120.3,5.1,8.0,249.5,33.8,10.1139/e93-122,23.051370750341487,12.659441114630368,178.92475122711295,-12.659441114630368,358.92475122711295
GD24,Gila County,297.9,58.5,168.0,4.0,9.0,249.5,33.8,10.1139/e93-122,39.211894491594556,40.76551539256137,184.79789625162192,-40.76551539256137,4.797896251621921
GD29,Gila County,306.9,66.4,678.5,2.0,9.0,249.4,33.6,10.1139/e93-122,48.853736886033644,48.22623344130034,197.23014730596287,-48.22623344130034,17.230147305962873
GD30,Gila County,264.1,33.4,157.6,5.4,6.0,249.4,33.6,10.1139/e93-122,18.24683256500134,5.276388619694622,177.83091026482762,-5.276388619694622,357.8309102648276
GD11,Gila County,115.3,-69.9,173.7,4.2,8.0,249.3,33.5,10.1139/e93-122,-53.79974983705661,-40.98518306648282,24.280755971134,40.98518306648282,204.280755971134
GD15-27,Gila County,224.9,-73.7,,,,249.4,33.6,10.1139/e93-122,-59.67915667613019,-50.85459720839849,103.76646301397693,50.85459720839849,283.76646301397693
DF,Gila County,332.6,69.4,145.1,3.5,13.0,-110.48,33.65,Donadini2011a,53.06596381602505,62.500447028105775,212.72966057851832,-62.500447028105775,32.72966057851832
DG,Sierra Ancha,266.2,34.4,58.7,8.0,7.0,-110.97,33.89,Donadini2011a,18.89900607840014,7.386299105531727,176.87107814929612,-7.386299105531727,356.8710781492961
DJ,Sierra Ancha,281.9,52.8,325.5,2.9,9.0,-110.98,33.87,Donadini2011a,33.37392213052533,26.7151938720035,182.84200895142166,-26.7151938720035,2.8420089514216613
KD,Sierra Ancha,293.8,13.4,142.3,3.3,14.0,-110.98,33.81,Donadini2011a,6.792883045506943,23.50087629314512,151.20509624284153,-23.50087629314512,331.20509624284153
MD,Sierra Ancha,277.2,50.7,110.4,4.2,12.0,-110.96,33.75,Donadini2011a,31.41994966082074,22.24406964861204,182.8749230425608,-22.24406964861204,2.874923042560795
BD,Gila County,137.6,-74.0,66.1,8.2,7.0,-110.5,33.8,Donadini2011a,-60.16612686410393,-51.98512525025115,36.49645913910965,51.98512525025115,216.49645913910965
WD,Gila County,199.2,-71.0,92.1,3.1,24.0,-110.61,33.61,Donadini2011a,-55.446555520065694,-64.41883048721556,94.98335403659871,64.41883048721556,274.9833540365987
GD12_GD13_OD,Gila County,280.7769560282375,45.73356789826518,313.7173168228287,6.971898005521232,,-110.69,33.55,Donadini2011a,27.156460116051708,23.01079229847669,177.57240808818858,-23.01079229847669,357.5724080881886
