site,mean_strike,mean_dip,mean_dip_dir,mean_pole_trend,mean_pole_plunge
"CB1, CB2, CB3, CB4, CB5",291.7,19.7,21.7,201.7,70.3
"CB6, CB7",319.6,12.8,49.6,229.6,77.2
"CB8, CB9, CB10, CB11, CB12, CB13, CB14, CB15, CB16, CB17, CB18, CBS1",274.8,10.4,4.8,184.8,79.6
UI1,285.5,14.0,15.5,195.5,76.0
UI2,235.4,23.9,325.4,145.4,66.1
UI3,352.8,11.3,82.8,262.8,78.7
UI4,300.6,28.7,30.6,210.6,61.3
UI5,318.7,12.0,48.7,228.7,78.0
