Age,Plat,Plon,Theta 95,max lat,min lat,max lon,min lon
1068.0,6.447674450358961,182.151837350007,0.0,6.44767445035896,6.44767445035896,182.15183735000704,182.15183735000704
1069.0,6.363208392874898,182.71482740917085,2.886215696202879,3.924780952869516,8.67370688336583,179.96773763770864,185.46185044629348
1070.0,6.450035076227694,182.687646324485,3.643151176582529,3.3187334506593977,9.96978577805294,179.13646962757903,186.06403664969255
1071.0,6.504871136652163,182.84037728819888,3.5499627510833305,3.205583079547959,9.59132440563617,179.35428637793214,186.1441232487572
1072.0,6.408258382261525,182.87290752283099,3.4706726755615125,3.316918631175713,9.761361069245677,179.99640254129517,186.2972167837137
1073.0,6.456998235519527,182.91961234272998,3.4339775778539336,3.032013020647426,9.652022294042077,179.71837713695564,186.1180838287795
1074.0,6.604458721250958,182.69087297680025,3.313476298570726,3.325919597678035,9.83341766110225,179.51989020280678,185.84339931945783
1075.0,7.0505539957292065,182.5545678584915,2.960853103424555,4.280205804658019,9.896058218113428,179.65475417277943,185.400833264008
1076.0,7.399054528550936,182.39576412956325,3.354031757200113,4.47642784964839,10.638028056992956,179.43471938748115,185.549166465759
1077.0,8.168356737479234,182.44293412609252,3.148878477253173,5.436359358042772,11.010935062123258,179.55813116234398,185.54582537386528
1078.0,9.10607527921437,182.46304909159386,2.851238808976379,6.60041888391169,11.698696353731377,179.86868135527774,185.2249184389888
1079.0,10.1302980960712,182.31903679970927,2.967616164446082,7.332159680603765,13.023919044626282,179.4965552481542,184.9862873289204
1080.0,11.266535407836772,182.4955383936672,2.9042426121782086,8.520649720287318,14.070946503960489,179.60447587959402,185.14333571597663
1081.0,12.702134323698047,182.5443123011713,2.7999481786358853,9.947540591463875,15.366863896077264,180.04475295478292,185.19748180534157
1082.0,14.25387064450804,182.71590505032393,2.70966857860153,11.548511596649956,16.701497609328257,180.1782974059995,185.25127992574411
1083.0,15.880178212861404,182.89465407187166,2.4728082256290893,13.478090107120106,18.343118972091546,180.77181172077843,185.2058118576116
1084.0,17.489877439241415,183.12247659754334,2.5555764732878723,15.045797027817343,20.02425255347376,180.95401299839563,185.4327437594858
1085.0,19.184275615911577,183.29240798669977,2.095814070051227,17.256255791250968,21.21125029891748,181.3234561336349,185.2328717749245
1086.0,20.88695290882269,183.56330021759828,2.094403664272513,18.85638758751425,22.816020863049346,181.39484181693769,185.74593607982703
1087.0,22.640568088260338,183.8422319458175,1.8716211735798003,20.792868080304668,24.395254045243902,182.003332871414,185.85466433015245
1088.0,24.183902658710682,183.9517619208804,1.7692252021301302,22.47352488014286,25.91783271936932,182.30287279104448,185.64172439261336
1089.0,25.619083373670787,183.87804303700477,1.5843539357061804,24.16665593647596,27.15688046552323,182.20653375527596,185.56096335431224
1090.0,26.888194997182772,183.75852973742795,1.3983290434788778,25.515535267434164,28.23904705896608,182.23389553152944,185.24545290412607
1091.0,28.04412057708377,183.53506174552223,1.407908269626764,26.70083592682049,29.41682403016929,182.22545681404955,184.951447547797
1092.0,29.15416444637635,183.24921763091822,1.3860753906259538,27.835564323771838,30.50197434563706,181.7595438453345,184.7122910108912
1093.0,30.27006472528423,182.99603493095296,1.3319213860169883,29.03299280687407,31.5612048469186,181.5529667755896,184.43578314558195
1094.0,31.380687535063824,182.70494830930875,1.3463412008378373,30.03954841903421,32.65714773683156,181.24286992487964,184.2577237790519
1095.0,32.57763997676721,182.94788722861264,1.2757389412968423,31.385994689710813,33.80604341822277,181.4743982437862,184.40288151374216
1096.0,33.613787596882005,183.86311790231213,1.3892207521970585,32.31843511220848,34.91009648100332,182.25864026635367,185.46664663584835
1097.0,34.71895939182755,185.3068455008539,1.4965896731599289,33.23337519218479,36.08674736998704,183.59482305728065,187.0672191370153
1098.0,36.04402608269045,187.24596795033872,1.5359984718080189,34.719049793305444,37.49723620240274,185.43295552373328,189.0724244179316
1099.0,37.5262478912446,189.66896909909804,1.7224042714648606,36.10419905644218,39.14433595365491,187.67110447125933,191.7794489433303
1100.0,38.89135849292774,192.26918756731672,1.8074027941059079,37.2217768382616,40.59646183498956,190.0342413741298,194.34770795268687
1101.0,39.73510008470397,194.38657604143847,2.225890352973739,38.08525063004988,41.72718623340756,191.686155638972,196.8893582614888
1102.0,40.820685153888434,196.8446521944709,2.0158211168457605,38.81453503976223,42.59633704942229,194.26161011250423,199.06111882621428
1103.0,41.92114944745423,200.1330202916564,2.2512886354745976,39.85817827088296,43.90530448161353,197.1445878940416,203.08117489006077
1104.0,42.69928372197553,203.44492091648422,2.208063909242083,40.58653265484951,44.68310710107011,200.5133620094975,206.32374219431148
1105.0,43.3587190763731,206.9826635065475,2.6832765945385137,41.17332947365742,45.729138973720765,203.4204933461356,210.47164684714707
1106.0,43.993942250950354,210.29155193590293,2.632791829588168,41.60112554587994,46.53295184289353,206.6432818536776,213.84150625857063
1107.0,44.597808839122024,212.84235396902707,2.827468928709936,41.980926294997474,47.37306955810156,208.8940200224432,216.75452728999497
1108.0,45.37575618344032,216.8434899034275,3.455301616970081,42.03565673802792,48.43784575352697,212.22949993482376,221.73200289001147
1109.0,45.98687865098533,219.37805430108781,3.105349607175846,43.11953183545373,48.30949382534891,215.11042706926523,223.73344485586375
